date,meantempm,meandewptm,meanpressurem,maxhumidity,minhumidity,maxtempm,mintempm,maxdewptm,mindewptm,maxpressurem,minpressurem,precipm
01-05-2016,34,-1,1005.63,24,4,43,26,9,-10,1009,999,0
02-05-2016,36,4,1005.46,21,6,43,29,10,-2,1008,1001,0
03-05-2016,35,6,1006,27,5,41,29,12,-2,1009,1000,0
04-05-2016,34,7,1005.65,29,6,41,27,13,0,1008,1001,0
05-05-2016,31,11,1007.94,61,13,38,24,16,6,1011,1003,5
06-05-2016,28,13,1008.39,69,18,34,21,17,9,1011,1004,0
07-05-2016,30,10,1007.62,50,8,38,23,14,6,1010,1002,0
08-05-2016,34,8,1006.73,32,7,41,26,12,6,1010,1002,0
09-05-2016,34,11,1005.75,45,7,42,27,16,7,1008,1000,0.3
10-05-2016,34,16,1007.1,51,12,41,27,18,13,1010,1002,0.8
11-05-2016,32,16,1006.78,66,16,40,25,22,10,1011,1001,2
12-05-2016,34,13,1003.83,58,9,42,27,20,10,1007,998,0.3
13-05-2016,34,11,1003.56,40,9,42,26,16,7,1006,998,0
14-05-2016,35,13,1004.74,48,8,42,28,19,10,1007,1000,0
15-05-2016,36,12,1005.02,40,7,44,29,16,9,1008,1001,0
16-05-2016,36,13,1003.68,51,6,43,28,19,7,1006,999,3
17-05-2016,35,13,1001.58,42,8,44,26,16,10,1010,995,0
18-05-2016,36,11,999.88,45,5,45,27,17,6,1002,994,0
19-05-2016,38,6,998.96,33,4,46,29,13,-2,1002,994,0
20-05-2016,38,10,997.92,38,4,46,30,18,0,1001,992,0
21-05-2016,38,12,998.41,30,6,45,32,17,3,1001,992,0
22-05-2016,38,16,999.88,46,10,44,31,21,8,1003,995,0
23-05-2016,34,18,1001.13,69,18,42,25,21,15,1006,994,0.5
24-05-2016,32,16,1002.15,74,14,40,23,20,12,1005,996,0
25-05-2016,34,17,1000.02,51,16,40,28,20,15,1003,994,0
26-05-2016,34,16,1001.7,46,14,40,28,19,13,1004,997,0
27-05-2016,36,13,1003.43,40,7,42,30,18,7,1006,998,0
28-05-2016,35,16,1003.17,46,15,40,30,20,13,1009,997,0
29-05-2016,33,16,1002.18,48,16,41,25,18,13,1005,996,0
30-05-2016,32,17,1003.67,58,21,37,26,20,8,1007,999,0
31-05-2016,34,16,1005.08,52,12,41,28,20,10,1008,999,0
01-06-2016,35,13,1005.44,42,10,42,28,18,8,1009,999,0
02-06-2016,36,13,1004.8,38,10,42,30,18,9,1009,999,0
03-06-2016,38,13,1004.93,34,10,43,32,18,7,1008,999,0
04-06-2016,38,5,1004.67,27,4,44,31,18,2,1007,999,0
05-06-2016,38,6,1003.88,27,4,45,31,16,0,1007,998,0
06-06-2016,36,13,1003.29,51,5,44,27,21,5,1007,997,0
07-06-2016,38,12,1002.83,47,4,45,30,22,2,1006,996,0
08-06-2016,38,12,1001.24,43,7,44,31,19,8,1004,994,0
09-06-2016,36,12,1000.57,34,6,44,29,17,6,1003,994,0
10-06-2016,37,15,1000.6,41,11,43,31,21,12,1003,994,0
11-06-2016,34,18,1001.62,62,16,41,27,22,13,1004,994,0
12-06-2016,34,18,1001.2,58,23,41,27,21,15,1004,996,0
13-06-2016,35,19,1001.42,58,17,40,30,26,14,1004,995,0
14-06-2016,34,18,1000.63,49,18,39,29,24,16,1004,994,0
15-06-2016,34,18,998.76,52,16,39,30,22,15,1002,993,0
16-06-2016,35,17,999.57,46,21,40,30,20,13,1003,994,0
17-06-2016,36,17,1000.55,41,15,42,31,21,13,1003,994,0
18-06-2016,36,19,1001.7,46,15,42,30,22,15,1004,995,0
19-06-2016,35,20,1002.2,52,17,41,29,23,16,1005,996,0
